index,id,queue_pos,source,subject,answer,exp_len,severity,issues,question
1,official_114_2_subject1_1,73,official_114_2_subject1,,B,595,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某電商企業希望利用自然語言處理（NLP）技術，分析顧客在社群平 台與商品評論中的文字內容，以即時掌握顧客對產品的滿意度變化。 若採用情感分析（Sentiment Analysis）模型，其主要目的為何？
2,official_114_2_subject1_2,74,official_114_2_subject1,,A,708,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某跨國金融科技公司導入 Transformer 架構開發多語客服系統，以提 升長篇金融文件的自動翻譯品質。下列何者為該模型能顯著改善翻譯 準確度的主要原因？
3,official_114_2_subject1_3,71,official_114_2_subject1,,B,682,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,"某企業計畫應用 BERT（Bidirectional Encoder Representations from Transformers）模型分析大量顧客意見，以強化客服自動回覆 系統。在 BERT 的預訓練過程中，「遮罩語言模型（Masked Language Model, M"
4,official_114_2_subject1_4,72,official_114_2_subject1,,C,738,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案,在詞向量（Word Embedding）訓練方法中，GloVe（Global Vectors for Word Representation）與 Word2Vec 的主要差異為何？
5,official_114_2_subject1_5,,official_114_2_subject1,,A,679,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,"某企業以詞頻–逆文件頻率（Term Frequency–Inverse Document Frequency, TF-IDF）方法分析顧客意見內容，但發現模型在處理篇 幅較長的回饋文本時，無法準確反映關鍵詞的重要性。下列何者為造 成此現象的主要原因？"
6,official_114_2_subject1_6,,official_114_2_subject1,,B,862,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某企業嘗試以 N-gram 語言模型（N-gram Language Model）建立客服 自動回覆系統，但發現模型生成的句子雖在片段上合理，卻缺乏整體 語意連貫性。此問題最可能源自 N-gram 模型的哪一項限制？
7,official_114_2_subject1_7,,official_114_2_subject1,,A,863,重大,模板句:常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,"在企業導入的智慧監控系統中，模型以物件偵測（Object Detection）方式自動辨識影像中的人物與車輛。若評估指標採用平 均精確率（Mean Average Precision, mAP），其中 IoU （Intersection over Union）閾值設定較高時，代表"
10,official_114_2_subject1_10,38,official_114_2_subject1,,D,676,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案,如果希望同時兼顧「精確率（Precision）」和「召回率（Recall）」， 下列哪一個指標可以作為綜合評估的標準？
11,official_114_2_subject1_11,,official_114_2_subject1,,C,1084,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,企業資料分析團隊使用 DBSCAN（Density-Based Spatial Clustering of Applications with Noise）演算法進行顧客行為分群，並希望模 型能自動區分主要群集與雜訊資料。 在此演算法中，決定聚類結果的兩個主要超參數為下列何者？
12,official_114_2_subject1_12,,official_114_2_subject1,,B,628,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某金融科技公司建立房價預測模型，使用多項特徵（如建坪、房齡、 樓層、總價等）進行線性迴歸分析（Linear Regression Analysis）。資料分析師發現多個特徵之間存在高度相關性，導致模 型係數不穩定、預測誤差上升。為解決此問題，下列哪一種方法最適 合？
13,official_114_2_subject1_13,63,official_114_2_subject1,,B,687,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案,下列何者為 Kubernetes 在 AI 模型部署與運行中的核心功能？
15,official_114_2_subject1_15,,official_114_2_subject1,,C,1012,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,在企業導入的 MLOps（Machine Learning Operations）流程中， Model Registry 最常用於哪一個階段？
16,official_114_2_subject1_16,22,official_114_2_subject1,,D,881,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略,下列哪一種情境中最適合使用「序列到序列（Seq2Seq）」模型？
17,official_114_2_subject1_17,,official_114_2_subject1,,D,1071,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題幹線索是「核心考點辨識與選項排除」,"在自然語言處理中，檢索增強生成（Retrieval-Augmented Generation, RAG）是一種結合語言模型與向量搜尋的技術，可有效 減少模型知識過時與產生幻覺的問題。若要建立一套高效能的 RAG 系 統，下列何者為在「檢索階段」最關鍵的挑戰？"
18,official_114_2_subject1_18,,official_114_2_subject1,,D,656,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案,當 Transformer 模型發生「注意力分布過於平均（Attention Collapse）」的情形時，導致模型無法有效聚焦於關鍵資訊，下列哪 一項策略可有效改善此問題？
19,official_114_2_subject1_19,52,official_114_2_subject1,,B,729,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某研究團隊正在訓練一個針對低資源語言（如少數民族語言）的語言 模型，但該語言僅有約 1 萬筆語料可用。在訓練過程中出現明顯的過 擬合現象，若希望在不新增真實語料的前提下提升模型的泛化能力， 採用下列哪一種方法最為適合？
20,official_114_2_subject1_20,120,official_114_2_subject1,,B,890,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,在使用生成對抗網路（GAN）進行人臉影像生成時，若出現「模式崩 潰」（Mode Collapse）現象，下列哪一種方法最常被用來有效解決此 問題？
21,official_114_2_subject1_21,79,official_114_2_subject1,,B,659,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,在多模態 AI 模型訓練或推論過程中，遇到某一模態資料缺失（例如 僅有影像資料但缺少文本說明），下列哪一種策略最有效維持模型效 能？
22,official_114_2_subject1_22,77,official_114_2_subject1,,D,632,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某電商平台開發的顧客流失預測模型在上線數月後，預測準確率明顯 下降。專案團隊懷疑顧客行為模式改變，導致模型輸入特徵的分佈與 原始訓練資料不同，出現典型的資料漂移（Data Drift）問題。為了 偵測並確認資料分佈是否發生變化，下列哪一種作法最合適？
23,official_114_2_subject1_23,27,official_114_2_subject1,,A,859,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某大型醫院即將部署一套輔助診斷的 AI 系統，為降低對臨床流程的 衝擊，同時確保風險可控與回饋可收斂，應採取何種『漸進式部署』 （Phased Rollout）策略最為合適？
25,official_114_2_subject1_25,80,official_114_2_subject1,,B,866,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某企業部署生成式 AI 系統協助行銷與內容產出，但近期遭質疑部分 生成內容可能涉及著作權侵權。為降低企業在法律層面的潛在責任與 風險，下列哪一項策略最能有效預防侵權問題產生？
26,official_114_2_subject1_26,93,official_114_2_subject1,,D,894,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略,在房價預測任務中，若發現特徵如「房間數」與「坪數」存在高度多 重共線性（Multicollinearity），為降低共線性對模型參數估計的負 面影響，應優先選擇下列哪種模型？
27,official_114_2_subject1_27,81,official_114_2_subject1,,C,952,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某企業需分析半結構化的系統日誌（JSON 格式），以提取關鍵的時序 特徵供故障預測模型使用。考量日誌結構複雜且包含巢狀欄位 （Nested Fields），下列哪一種策略最有效且實務可行？
28,official_114_2_subject1_28,,official_114_2_subject1,,C,948,重大,可能缺原題素材/圖表/程式碼,在一個同時包含連續型特徵與類別型特徵的資料集中，若希望透過適 當的特徵工程流程來提升模型整體表現，下列哪一種作法最為合適？
29,official_114_2_subject1_29,13,official_114_2_subject1,,B,868,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,"某 AI 開發團隊為提升模型開發效率及品質控制，計畫實施持續整合 （Continuous Integration, CI）流程。下列哪一項做法最符合 CI 的核心實踐，且能有效減少整合風險？"
30,official_114_2_subject1_30,,official_114_2_subject1,,A,868,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某銀行計劃將 AI 詐欺偵測模組整合至核心交易系統，主管機關要求 全流程必須符合金融監管對「不可否認性（Non-repudiation）」的資 訊安全規範，以確保日後能進行法務追蹤與稽核。下列哪一項措施最 能確保此要求的落實？
31,official_114_2_subject1_31,,official_114_2_subject1,,B,869,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題幹線索是「核心考點辨識與選項排除」,"某 AI 服務系統每次推論請求需約 1 秒完成，且必須支撐高達 10,000 次請求每秒（RPS）的流量。為確保系統具備高可用性且能穩定應付 流量峰值，下列哪一種架構方案最為合適？"
32,official_114_2_subject1_32,83,official_114_2_subject1,,D,906,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某企業已將 AI 模型部署於生產環境，為確保系統持續穩定運作，並 能提前偵測模型效能可能衰退，技術團隊希望透過監控指標進行預 警。 下列哪一項監控指標最具預測效力，能提早發現模型效能下滑風險？
34,official_114_2_subject1_34,95,official_114_2_subject1,,D,895,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略,在自駕車影像辨識系統中，開發團隊希望模型能同時辨識每個像素所 屬的物件類別（例如道路、建築、行人），又能區分出同類物件的不 同個體（例如多位行人）。此時最適合採用下列哪一項電腦視覺技 術？
35,official_114_2_subject1_35,44,official_114_2_subject1,,A,735,警示,模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某媒體公司計畫導入 CLIP（Contrastive Language–Image Pretraining）模型，以協助大量影像自動標註與搜尋，並希望在無需新 增標訓資料的情況下，僅透過文字提示（Text Prompt）即可識別影 像內容。請問此應用情境中，CLIP 能夠達成的關
36,official_114_2_subject1_36,111,official_114_2_subject1,,B,1015,重大,可能缺原題素材/圖表/程式碼,某資料科學團隊在開發預測模型時，針對多種模型設定（如學習率、 樹深度、正則化係數等）進行系統化測試，希望找出在驗證資料上表 現最穩定的組合。此過程最可能採用下列哪一種方法？
37,official_114_2_subject1_37,,official_114_2_subject1,,B,970,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題幹線索是「核心考點辨識與選項排除」,某公司正在訓練一個大型語音合成模型，開發團隊使用多台 GPU 進行 訓練，但經常出現 GPU 記憶體不足問題。由於模型架構已固定且無 法更換硬體，團隊希望在維持模型效能與收斂品質的前提下，下列哪 一種方法最有效降低單張 GPU 的記憶體壓力？
38,official_114_2_subject1_38,41,official_114_2_subject1,,B,668,重大,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜這題在考你能不能把題幹描述對應到正確概念，而不是只靠單一名詞猜答案；可能缺原題素材/圖表/程式碼,某影像設計團隊在使用 Stable Diffusion 生成 4K 級產品圖時，發現 影像邊緣與細節存在顆粒化與模糊現象。 若僅能在生成階段進行調整，希望提升畫面清晰度與紋理層次，同時 避免過度平滑，下列哪一項作法最適合？
39,official_114_2_subject1_39,56,official_114_2_subject1,,C,662,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,某企業的資料科學團隊利用 ARIMA 模型（AutoRegressive Integrated Moving Average Model）預測每週產品銷售量。模型建 立完成後，分析人員發現預測誤差隨時間呈現週期性波動，且自相關 函數（ACF）顯示殘差在多個時滯（Lag）上仍顯著不
41,official_114_2_subject1_41,,official_114_2_subject1,,A,651,警示,解析偏短<700；模板句:正解之所以成立，是因為它最直接回應題幹描述｜常見陷阱是偷換概念、把次要效果說成主要目的,在進行超參數調校（Hyperparameter Tuning）時，若直接在 K-Fold 交叉驗證（Cross-Validation）的資料上同時調整模型參數並評估效 能，最可能導致下列哪一種問題？
42,official_114_2_subject1_42,,official_114_2_subject1,,D,934,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,若部署一個深度學習模型至金融風控系統，該模型採用鑑別式架構 （如 Transformer Classifier）。然而上線後，模型對新樣本的分類 錯誤率顯著上升，經檢查發現，輸入資料分佈已與原訓練集明顯不 同。針對此情形，下列哪一種應對策略最為適合？
43,official_114_2_subject1_43,94,official_114_2_subject1,,B,925,重大,模板句:常見陷阱是偷換概念、把次要效果說成主要目的；可能缺原題素材/圖表/程式碼,某金融科技公司欲導入 AI 模型協助客服郵件自動分類（投訴、詢 問、表揚）。團隊同時考慮兩種模型設計： 方案 A（生成式路徑）：採用 VAE 建構潛在語意空間，再結合下游分 類器進行標籤預測； 方案 B（鑑別式路徑）：採用 BERT Classifier 直接根據輸入文本進 行監
44,official_114_2_subject1_44,19,official_114_2_subject1,,C,888,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的｜題目問的是原因、目的還是改善策略,某電信公司希望建立一個模型來預測顧客是否即將流失，並進一步模 擬不同促銷或服務策略下顧客的行為變化，以生成多樣化的虛擬樣本 資料進行 A/B 測試與行銷策略評估。若要同時兼顧預測與資料生成的 需求，最適合採用下列哪一種方法？
46,official_114_2_subject1_46,20,official_114_2_subject1,,A,857,警示,模板句:常見陷阱是偷換概念、把次要效果說成主要目的,某企業的 AI 模型已部署於線上服務環境中，用於即時預測顧客流失 機率。近期團隊注意到模型預測準確率逐漸下降，但系統運作正常且 未出現錯誤訊息。經分析發現，近期輸入資料的分布與模型訓練資料 相比出現顯著偏移。若要在 MLOps 流程中主動偵測並預警此類問題， 最應採用下列哪項措施
